Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Amoxiphen,Antipyretic,Ointment,309 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Clarinazole,Antidiabetic,Tablet,500 mg,GlaxoSmithKline plc,Infection,Prescription
Clarimet,Antifungal,Injection,821 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Dextronazole,Antibiotic,Syrup,232 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Amoxiphen,Antipyretic,Capsule,158 mg,Biogen Inc.,Virus,Over-the-Counter
Amoximycin,Antiseptic,Injection,449 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter
Acetonazole,Antipyretic,Ointment,309 mg,Novartis AG,Infection,Prescription
Amoxinazole,Analgesic,Capsule,574 mg,AbbVie Inc.,Wound,Prescription
Dextrocillin,Antipyretic,Drops,624 mg,Sanofi S.A.,Depression,Over-the-Counter
Ibupromet,Antidepressant,Capsule,790 mg,Roche Holding AG,Fungus,Prescription
Acetovir,Antidiabetic,Drops,458 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Amoxicillin,Antibiotic,Tablet,526 mg,Eli Lilly and Company,Pain,Prescription
Acetomet,Antipyretic,Drops,616 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Ibupromycin,Antifungal,Drops,576 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter
Clarivir,Antiseptic,Inhaler,871 mg,Biogen Inc.,Pain,Prescription
Dolocillin,Antipyretic,Capsule,896 mg,Amgen Inc.,Fungus,Over-the-Counter
Dextrophen,Antiseptic,Tablet,66 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Dolomet,Antidiabetic,Capsule,99 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Metoprofen,Antiseptic,Inhaler,570 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
Amoxivir,Analgesic,Syrup,837 mg,Roche Holding AG,Fever,Over-the-Counter
Claristatin,Antibiotic,Ointment,471 mg,"Gilead Sciences, Inc.",Infection,Prescription
Acetomycin,Antibiotic,Injection,320 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter
Ibuprophen,Antiseptic,Capsule,660 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Doloprofen,Antipyretic,Tablet,723 mg,Novartis AG,Virus,Over-the-Counter
Cefphen,Analgesic,Ointment,563 mg,"Merck & Co., Inc.",Depression,Prescription
Dextrostatin,Antidepressant,Injection,674 mg,Novartis AG,Fever,Over-the-Counter
Dextromycin,Antiviral,Inhaler,521 mg,AbbVie Inc.,Diabetes,Prescription
Ibuprovir,Analgesic,Syrup,153 mg,Pfizer Inc.,Virus,Prescription
Clarinazole,Antibiotic,Capsule,159 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Dextromet,Antidepressant,Syrup,756 mg,"Gilead Sciences, Inc.",Depression,Prescription
Cefvir,Antipyretic,Injection,923 mg,Biogen Inc.,Pain,Prescription
Dextrophen,Antidiabetic,Syrup,949 mg,Bayer AG,Wound,Over-the-Counter
Cefcillin,Antiseptic,Cream,580 mg,Johnson & Johnson,Fever,Prescription
Amoximycin,Antibiotic,Inhaler,107 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Dolocillin,Antidepressant,Ointment,849 mg,Amgen Inc.,Pain,Prescription
Acetomet,Antibiotic,Tablet,779 mg,CSL Limited,Virus,Over-the-Counter
Metostatin,Antifungal,Ointment,305 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter
Amoximet,Antidiabetic,Inhaler,292 mg,GlaxoSmithKline plc,Wound,Over-the-Counter
Cefmet,Antidiabetic,Cream,498 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Ibuproprofen,Antiviral,Capsule,6 mg,Novo Nordisk A/S,Pain,Prescription
Metocillin,Antiviral,Cream,93 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Acetomycin,Antidiabetic,Inhaler,135 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Metophen,Antibiotic,Syrup,444 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Ibuprophen,Antiviral,Tablet,932 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Cefcillin,Antifungal,Drops,12 mg,"Gilead Sciences, Inc.",Depression,Prescription
Cefcillin,Antidiabetic,Drops,722 mg,Bayer AG,Infection,Over-the-Counter
Metomet,Antiviral,Tablet,689 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Clarinazole,Antibiotic,Injection,599 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Dextrostatin,Antipyretic,Capsule,427 mg,Eli Lilly and Company,Pain,Prescription
Dolocillin,Antifungal,Tablet,972 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Acetovir,Antibiotic,Drops,676 mg,Bayer AG,Depression,Over-the-Counter
Metomet,Antifungal,Syrup,710 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription
Dolocillin,Antipyretic,Syrup,674 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription
Clarimet,Antifungal,Inhaler,516 mg,Eli Lilly and Company,Pain,Over-the-Counter
Acetostatin,Antipyretic,Inhaler,447 mg,Biogen Inc.,Depression,Prescription
Dextrocillin,Antiviral,Syrup,150 mg,Johnson & Johnson,Depression,Prescription
Clarimet,Antipyretic,Tablet,678 mg,Johnson & Johnson,Fever,Prescription
Acetomycin,Antiseptic,Injection,912 mg,"Merck & Co., Inc.",Fungus,Prescription
Acetoprofen,Antiseptic,Syrup,922 mg,CSL Limited,Infection,Over-the-Counter
Cefnazole,Analgesic,Drops,711 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter
Dolocillin,Antidiabetic,Injection,685 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Ibuprostatin,Antiviral,Inhaler,44 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Metoprofen,Antifungal,Ointment,858 mg,Pfizer Inc.,Depression,Over-the-Counter
Amoxiprofen,Analgesic,Inhaler,509 mg,Johnson & Johnson,Wound,Prescription
Amoxivir,Antiviral,Syrup,492 mg,CSL Limited,Virus,Prescription
Ibuprophen,Antifungal,Inhaler,587 mg,Johnson & Johnson,Fungus,Over-the-Counter
Ibupromet,Antidiabetic,Syrup,43 mg,AbbVie Inc.,Pain,Prescription
Metostatin,Antiviral,Tablet,33 mg,Novo Nordisk A/S,Infection,Prescription
Dolophen,Antidepressant,Ointment,332 mg,Roche Holding AG,Fungus,Prescription
Cefprofen,Antipyretic,Tablet,473 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter
Dolostatin,Antiviral,Injection,501 mg,Boehringer Ingelheim GmbH,Fungus,Prescription
Ibuprostatin,Antiseptic,Tablet,202 mg,Bristol-Myers Squibb Company,Fever,Prescription
Acetoprofen,Antipyretic,Injection,554 mg,Takeda Pharmaceutical Company Limited,Fever,Prescription
Ibuproprofen,Antipyretic,Syrup,575 mg,Johnson & Johnson,Diabetes,Prescription
Clariphen,Analgesic,Syrup,788 mg,Novartis AG,Wound,Over-the-Counter
Clarivir,Antiseptic,Inhaler,715 mg,AstraZeneca plc,Infection,Over-the-Counter
Dextrocillin,Antidiabetic,Ointment,282 mg,Johnson & Johnson,Wound,Over-the-Counter
Amoxistatin,Antiviral,Capsule,949 mg,CSL Limited,Virus,Over-the-Counter
Amoxiprofen,Antibiotic,Drops,755 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription
Claristatin,Antibiotic,Tablet,657 mg,Novo Nordisk A/S,Pain,Prescription
Dextrophen,Antidepressant,Tablet,839 mg,Johnson & Johnson,Pain,Prescription
Amoximycin,Antidepressant,Syrup,929 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Cefprofen,Antidepressant,Drops,842 mg,Amgen Inc.,Pain,Prescription
Ibuprocillin,Antiviral,Syrup,12 mg,"Gilead Sciences, Inc.",Virus,Prescription
Dextromycin,Antifungal,Ointment,145 mg,GlaxoSmithKline plc,Wound,Over-the-Counter
Ibupromycin,Antidiabetic,Drops,989 mg,Novo Nordisk A/S,Fever,Prescription
Acetophen,Antifungal,Capsule,487 mg,Eli Lilly and Company,Wound,Prescription
Cefstatin,Antibiotic,Cream,857 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription
Dextrostatin,Analgesic,Injection,48 mg,Biogen Inc.,Pain,Over-the-Counter
Clarinazole,Antidiabetic,Syrup,799 mg,Roche Holding AG,Virus,Over-the-Counter
Acetomycin,Antibiotic,Injection,735 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Acetoprofen,Antidiabetic,Syrup,870 mg,Novo Nordisk A/S,Fever,Prescription
Metomycin,Antipyretic,Syrup,197 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Clarivir,Analgesic,Syrup,670 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Metovir,Antibiotic,Inhaler,471 mg,Amgen Inc.,Diabetes,Over-the-Counter
Ibuprophen,Antifungal,Cream,157 mg,Roche Holding AG,Infection,Over-the-Counter
Doloprofen,Antifungal,Ointment,671 mg,Biogen Inc.,Diabetes,Over-the-Counter
Claristatin,Analgesic,Capsule,815 mg,Bristol-Myers Squibb Company,Depression,Prescription
Clarinazole,Antibiotic,Drops,435 mg,Amgen Inc.,Virus,Over-the-Counter
Acetophen,Antiviral,Injection,144 mg,CSL Limited,Wound,Prescription
Dolovir,Antidiabetic,Inhaler,466 mg,AbbVie Inc.,Infection,Over-the-Counter
Amoxistatin,Antifungal,Inhaler,722 mg,AstraZeneca plc,Infection,Prescription
Ibuprostatin,Analgesic,Syrup,370 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Acetocillin,Analgesic,Tablet,716 mg,Novartis AG,Fungus,Prescription
Ibupromycin,Antiviral,Capsule,702 mg,AbbVie Inc.,Depression,Prescription
Cefmet,Analgesic,Inhaler,39 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription
Dextrostatin,Antifungal,Ointment,706 mg,Bristol-Myers Squibb Company,Pain,Prescription
Claricillin,Antidiabetic,Tablet,508 mg,Amgen Inc.,Diabetes,Over-the-Counter
Metonazole,Antidiabetic,Capsule,279 mg,Novartis AG,Virus,Prescription
Claricillin,Antidepressant,Capsule,286 mg,AstraZeneca plc,Fungus,Over-the-Counter
Amoxiphen,Analgesic,Capsule,180 mg,Amgen Inc.,Fever,Over-the-Counter
Dolomycin,Antidiabetic,Drops,155 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Cefmet,Analgesic,Inhaler,332 mg,Roche Holding AG,Diabetes,Prescription
Ibuproprofen,Antibiotic,Capsule,474 mg,Pfizer Inc.,Virus,Over-the-Counter
Ibupronazole,Antiseptic,Cream,12 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Ibupromet,Analgesic,Ointment,771 mg,Johnson & Johnson,Wound,Over-the-Counter
Cefphen,Antidiabetic,Injection,557 mg,Amgen Inc.,Depression,Prescription
Clariprofen,Antifungal,Drops,968 mg,Eli Lilly and Company,Virus,Over-the-Counter
Acetostatin,Analgesic,Ointment,194 mg,Roche Holding AG,Infection,Prescription
Acetomet,Antidiabetic,Syrup,137 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Clarivir,Antiviral,Syrup,82 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Dextrovir,Antifungal,Capsule,35 mg,Amgen Inc.,Diabetes,Over-the-Counter
Acetomet,Antiseptic,Inhaler,625 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Clarimet,Antiseptic,Drops,999 mg,AbbVie Inc.,Fungus,Over-the-Counter
Dextrovir,Analgesic,Inhaler,992 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Ibuproprofen,Analgesic,Syrup,60 mg,AstraZeneca plc,Pain,Over-the-Counter
Dextrostatin,Antidepressant,Injection,477 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Acetoprofen,Antifungal,Inhaler,973 mg,Johnson & Johnson,Virus,Prescription
Amoxiphen,Antiviral,Drops,295 mg,Novartis AG,Infection,Over-the-Counter
Dolonazole,Antidepressant,Drops,891 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Clarinazole,Antidepressant,Capsule,177 mg,Bristol-Myers Squibb Company,Fever,Prescription
Metoprofen,Antibiotic,Inhaler,610 mg,Roche Holding AG,Infection,Prescription
Ibuprovir,Antifungal,Capsule,976 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Acetophen,Antifungal,Inhaler,398 mg,Eli Lilly and Company,Fungus,Prescription
Claricillin,Analgesic,Inhaler,68 mg,Sanofi S.A.,Virus,Prescription
Dextrophen,Antidiabetic,Drops,637 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Amoximycin,Antiviral,Ointment,911 mg,Roche Holding AG,Depression,Over-the-Counter
Doloprofen,Antidepressant,Drops,472 mg,Boehringer Ingelheim GmbH,Wound,Prescription
Cefstatin,Antipyretic,Inhaler,152 mg,Novartis AG,Wound,Over-the-Counter
Clarinazole,Antiviral,Injection,731 mg,Amgen Inc.,Diabetes,Over-the-Counter
Cefprofen,Antidepressant,Capsule,787 mg,Bayer AG,Infection,Prescription
Acetoprofen,Antibiotic,Capsule,753 mg,Novo Nordisk A/S,Virus,Prescription
Acetoprofen,Antibiotic,Inhaler,943 mg,Johnson & Johnson,Fever,Prescription
Dextrovir,Analgesic,Tablet,368 mg,GlaxoSmithKline plc,Pain,Prescription
Ibuprovir,Antipyretic,Ointment,838 mg,Johnson & Johnson,Wound,Over-the-Counter
Clarimet,Antiviral,Ointment,296 mg,Roche Holding AG,Depression,Prescription
Clarimycin,Antibiotic,Syrup,641 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Metomet,Antiseptic,Inhaler,489 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Dolovir,Antipyretic,Drops,49 mg,Sanofi S.A.,Diabetes,Prescription
Acetocillin,Antifungal,Drops,441 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter
Clarimet,Analgesic,Inhaler,513 mg,AstraZeneca plc,Pain,Prescription
Clarinazole,Antidepressant,Drops,417 mg,CSL Limited,Pain,Over-the-Counter
Amoxiphen,Antidepressant,Drops,582 mg,Biogen Inc.,Pain,Over-the-Counter
Acetomet,Analgesic,Injection,901 mg,"Merck & Co., Inc.",Diabetes,Prescription
Acetophen,Antiseptic,Drops,980 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter
Dextrostatin,Analgesic,Ointment,294 mg,Biogen Inc.,Fungus,Over-the-Counter
Cefmet,Antidiabetic,Syrup,58 mg,AbbVie Inc.,Infection,Over-the-Counter
Dolophen,Antibiotic,Cream,717 mg,Pfizer Inc.,Infection,Prescription
Claristatin,Analgesic,Drops,271 mg,Pfizer Inc.,Fever,Over-the-Counter
Dextrostatin,Antipyretic,Tablet,51 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Dextrocillin,Antiviral,Injection,31 mg,CSL Limited,Wound,Over-the-Counter
Cefmycin,Antipyretic,Tablet,561 mg,Bayer AG,Depression,Over-the-Counter
Amoxicillin,Antipyretic,Inhaler,196 mg,"Merck & Co., Inc.",Wound,Over-the-Counter
Ibuprocillin,Antidiabetic,Syrup,714 mg,Novartis AG,Diabetes,Prescription
Acetomet,Antipyretic,Cream,115 mg,Amgen Inc.,Infection,Over-the-Counter
Amoxistatin,Antiviral,Cream,47 mg,Johnson & Johnson,Virus,Prescription
Acetonazole,Analgesic,Injection,876 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Cefstatin,Antiviral,Drops,348 mg,Bayer AG,Diabetes,Prescription
Acetomycin,Antiseptic,Tablet,583 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Metostatin,Antiviral,Ointment,889 mg,Bayer AG,Infection,Over-the-Counter
Acetonazole,Antidiabetic,Injection,32 mg,Pfizer Inc.,Virus,Over-the-Counter
Dextrophen,Antidepressant,Cream,121 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Amoxiphen,Antipyretic,Injection,706 mg,Biogen Inc.,Virus,Over-the-Counter
Metostatin,Analgesic,Syrup,902 mg,GlaxoSmithKline plc,Wound,Over-the-Counter
Dolonazole,Analgesic,Ointment,310 mg,AbbVie Inc.,Fungus,Prescription
Metostatin,Antiviral,Drops,492 mg,AbbVie Inc.,Fever,Prescription
Clariprofen,Antidiabetic,Capsule,372 mg,Amgen Inc.,Diabetes,Prescription
Clarimycin,Antiseptic,Ointment,560 mg,Amgen Inc.,Depression,Over-the-Counter
Cefprofen,Antidepressant,Ointment,437 mg,Novartis AG,Infection,Prescription
Amoxiprofen,Antibiotic,Tablet,783 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Dextrocillin,Antiviral,Capsule,869 mg,GlaxoSmithKline plc,Virus,Prescription
Amoxicillin,Antiviral,Drops,872 mg,Sanofi S.A.,Pain,Prescription
Amoximycin,Antiseptic,Ointment,762 mg,CSL Limited,Pain,Prescription
Dolophen,Antipyretic,Tablet,870 mg,Pfizer Inc.,Wound,Over-the-Counter
Metophen,Antidiabetic,Ointment,639 mg,Pfizer Inc.,Pain,Over-the-Counter
Ibupromycin,Antibiotic,Syrup,550 mg,AbbVie Inc.,Virus,Over-the-Counter
Clariprofen,Antiseptic,Drops,777 mg,Novo Nordisk A/S,Diabetes,Prescription
Dextrostatin,Analgesic,Cream,981 mg,Novo Nordisk A/S,Infection,Prescription
Metoprofen,Antifungal,Inhaler,496 mg,GlaxoSmithKline plc,Fever,Prescription
Dextrovir,Antiseptic,Inhaler,204 mg,"Gilead Sciences, Inc.",Wound,Prescription
Dolophen,Antibiotic,Inhaler,138 mg,GlaxoSmithKline plc,Fever,Prescription
Ibupromet,Antiseptic,Ointment,898 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Acetonazole,Antiseptic,Drops,929 mg,Pfizer Inc.,Fungus,Prescription
Clariphen,Analgesic,Inhaler,399 mg,Johnson & Johnson,Infection,Prescription
Clarimycin,Antipyretic,Ointment,985 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Dextronazole,Antiviral,Capsule,353 mg,Novartis AG,Virus,Prescription
Dextrovir,Antiseptic,Injection,494 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Dextromet,Antifungal,Ointment,677 mg,Bayer AG,Infection,Prescription
Claristatin,Antidiabetic,Syrup,20 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Dolophen,Antiviral,Tablet,243 mg,AstraZeneca plc,Wound,Prescription
Dextrocillin,Analgesic,Injection,627 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Acetocillin,Antifungal,Tablet,144 mg,Bayer AG,Virus,Over-the-Counter
Acetomycin,Antiviral,Inhaler,557 mg,AstraZeneca plc,Fungus,Over-the-Counter
Acetocillin,Antiviral,Cream,203 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Dolovir,Antiviral,Inhaler,5 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription
Metomet,Antipyretic,Injection,559 mg,AbbVie Inc.,Fever,Prescription
Claristatin,Antibiotic,Syrup,849 mg,Biogen Inc.,Depression,Over-the-Counter
Acetonazole,Analgesic,Injection,421 mg,Biogen Inc.,Fungus,Over-the-Counter
Dextroprofen,Antiseptic,Injection,810 mg,AbbVie Inc.,Pain,Over-the-Counter
Dextrovir,Antidiabetic,Inhaler,402 mg,GlaxoSmithKline plc,Wound,Prescription
Cefphen,Analgesic,Syrup,25 mg,CSL Limited,Fungus,Prescription
Claristatin,Antidepressant,Drops,773 mg,Amgen Inc.,Diabetes,Prescription
Dextrocillin,Antifungal,Cream,32 mg,Eli Lilly and Company,Infection,Over-the-Counter
Dextromycin,Antifungal,Ointment,522 mg,Amgen Inc.,Infection,Over-the-Counter
Metophen,Antifungal,Syrup,56 mg,Johnson & Johnson,Virus,Over-the-Counter
Metovir,Antifungal,Injection,107 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Cefnazole,Antiviral,Capsule,234 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Metostatin,Antibiotic,Tablet,120 mg,Biogen Inc.,Fever,Over-the-Counter
Clariprofen,Antiviral,Inhaler,533 mg,Novartis AG,Fungus,Prescription
Dolovir,Antiviral,Injection,521 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Ibuproprofen,Antidepressant,Tablet,82 mg,Novartis AG,Wound,Prescription
Dextrophen,Antiviral,Syrup,190 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter
Amoxiprofen,Antipyretic,Inhaler,672 mg,Novartis AG,Diabetes,Over-the-Counter
Amoxivir,Antipyretic,Inhaler,566 mg,Takeda Pharmaceutical Company Limited,Diabetes,Prescription
Amoxiphen,Antifungal,Capsule,777 mg,Amgen Inc.,Fever,Over-the-Counter
Acetoprofen,Antidiabetic,Capsule,695 mg,Novartis AG,Infection,Over-the-Counter
Metoprofen,Antibiotic,Tablet,845 mg,Johnson & Johnson,Infection,Prescription
Metomycin,Antipyretic,Injection,846 mg,Biogen Inc.,Fever,Over-the-Counter
Dextroprofen,Antibiotic,Syrup,24 mg,Roche Holding AG,Wound,Over-the-Counter
Metovir,Analgesic,Inhaler,177 mg,CSL Limited,Infection,Prescription
Cefnazole,Antiviral,Tablet,758 mg,Roche Holding AG,Wound,Over-the-Counter
Ibupronazole,Antidepressant,Syrup,889 mg,AbbVie Inc.,Fungus,Prescription
Cefprofen,Antiseptic,Inhaler,854 mg,Biogen Inc.,Infection,Over-the-Counter
Cefvir,Antiseptic,Inhaler,381 mg,AstraZeneca plc,Pain,Over-the-Counter
Cefmet,Antiviral,Inhaler,248 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Amoxinazole,Analgesic,Inhaler,924 mg,Novo Nordisk A/S,Fever,Over-the-Counter
Cefvir,Antipyretic,Inhaler,326 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Acetostatin,Antidepressant,Drops,77 mg,Bayer AG,Fungus,Prescription
Cefcillin,Antipyretic,Cream,353 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Metostatin,Antipyretic,Syrup,475 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Dextrophen,Antipyretic,Cream,32 mg,AbbVie Inc.,Infection,Over-the-Counter
Metostatin,Antipyretic,Capsule,116 mg,Bayer AG,Wound,Over-the-Counter
Clariphen,Analgesic,Ointment,726 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Metonazole,Antiviral,Tablet,649 mg,Novartis AG,Virus,Over-the-Counter
Dextroprofen,Antidepressant,Capsule,790 mg,Sanofi S.A.,Depression,Prescription
Ibuprocillin,Antidiabetic,Ointment,499 mg,AstraZeneca plc,Fever,Over-the-Counter
Ibuprovir,Antidepressant,Capsule,542 mg,Roche Holding AG,Virus,Prescription
Ibuprocillin,Antidepressant,Tablet,95 mg,"Gilead Sciences, Inc.",Diabetes,Prescription
Dextroprofen,Antidepressant,Ointment,637 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Dextronazole,Antipyretic,Injection,90 mg,Novartis AG,Depression,Prescription
Ibupromet,Analgesic,Ointment,222 mg,AstraZeneca plc,Depression,Over-the-Counter
Amoximycin,Analgesic,Injection,229 mg,Novo Nordisk A/S,Pain,Prescription
Acetovir,Antidepressant,Drops,39 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Metovir,Antidiabetic,Cream,567 mg,CSL Limited,Fever,Prescription
Cefmycin,Antidepressant,Inhaler,699 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Ibuprostatin,Antifungal,Capsule,558 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Amoxistatin,Antiviral,Inhaler,85 mg,Biogen Inc.,Diabetes,Over-the-Counter
Acetophen,Antidiabetic,Cream,992 mg,Bayer AG,Infection,Over-the-Counter
Acetoprofen,Antiviral,Drops,263 mg,Sanofi S.A.,Pain,Over-the-Counter
Dextromycin,Antidiabetic,Injection,574 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Cefmycin,Antipyretic,Inhaler,901 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Clarimet,Antidepressant,Inhaler,983 mg,AbbVie Inc.,Pain,Over-the-Counter
Cefcillin,Antifungal,Syrup,782 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter
Amoxistatin,Antiviral,Syrup,88 mg,AbbVie Inc.,Fever,Over-the-Counter
Amoxinazole,Analgesic,Tablet,318 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Clariprofen,Antipyretic,Syrup,219 mg,AbbVie Inc.,Diabetes,Over-the-Counter
Amoxiprofen,Antibiotic,Injection,265 mg,Eli Lilly and Company,Fever,Prescription
Dolonazole,Antidepressant,Cream,295 mg,Bristol-Myers Squibb Company,Diabetes,Prescription
Cefnazole,Antidiabetic,Ointment,464 mg,Johnson & Johnson,Fungus,Prescription
Dextromet,Antidiabetic,Syrup,152 mg,Eli Lilly and Company,Fever,Prescription
Dextrostatin,Antibiotic,Drops,936 mg,GlaxoSmithKline plc,Depression,Prescription
Metocillin,Antifungal,Cream,209 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Claristatin,Antiviral,Cream,520 mg,AbbVie Inc.,Infection,Prescription
Claristatin,Antiviral,Capsule,99 mg,Pfizer Inc.,Wound,Prescription
Cefprofen,Analgesic,Syrup,133 mg,AbbVie Inc.,Wound,Prescription
Ibuprocillin,Antidepressant,Injection,228 mg,AbbVie Inc.,Infection,Prescription
Cefcillin,Antidepressant,Cream,910 mg,AstraZeneca plc,Fever,Over-the-Counter
Dolonazole,Antidepressant,Syrup,364 mg,Novartis AG,Diabetes,Prescription
Cefcillin,Antidepressant,Ointment,29 mg,Biogen Inc.,Infection,Prescription
Clarivir,Antidiabetic,Syrup,948 mg,Eli Lilly and Company,Depression,Prescription
Acetostatin,Antiseptic,Ointment,729 mg,Biogen Inc.,Diabetes,Over-the-Counter
Dolovir,Analgesic,Drops,572 mg,Boehringer Ingelheim GmbH,Fever,Prescription
Amoximet,Analgesic,Ointment,187 mg,Eli Lilly and Company,Fever,Prescription
Ibuprocillin,Antiseptic,Cream,333 mg,Sanofi S.A.,Infection,Over-the-Counter
Metovir,Antidiabetic,Drops,217 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Dextrocillin,Antibiotic,Capsule,182 mg,Bristol-Myers Squibb Company,Diabetes,Prescription
Dextrostatin,Antipyretic,Injection,911 mg,Novo Nordisk A/S,Depression,Prescription
Dextrostatin,Antipyretic,Inhaler,357 mg,Roche Holding AG,Fever,Prescription
Claricillin,Antiseptic,Tablet,265 mg,"Merck & Co., Inc.",Diabetes,Prescription
Acetostatin,Antibiotic,Ointment,793 mg,"Merck & Co., Inc.",Virus,Over-the-Counter
Cefmet,Antipyretic,Injection,561 mg,Johnson & Johnson,Fever,Over-the-Counter
Cefcillin,Antibiotic,Syrup,709 mg,GlaxoSmithKline plc,Fungus,Prescription
Acetocillin,Antifungal,Capsule,158 mg,Johnson & Johnson,Diabetes,Prescription
Dolomet,Antiseptic,Inhaler,397 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Metomycin,Antidepressant,Drops,373 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Acetomycin,Antidiabetic,Tablet,949 mg,Novo Nordisk A/S,Depression,Prescription
Metoprofen,Analgesic,Inhaler,756 mg,Novo Nordisk A/S,Infection,Prescription
Clarimet,Antiviral,Drops,588 mg,AbbVie Inc.,Diabetes,Over-the-Counter
Amoximet,Analgesic,Injection,74 mg,Johnson & Johnson,Pain,Over-the-Counter
